[Observer] Login attempt for: halo@gmail.com | Success: false
[Observer] Login attempt for: budi@its.ac.id | Success: true
[Observer] Registration attempt for: ryan@gmail.com | Success: true
[Observer] Login attempt for: ryan@gmail.com | Success: true
[Observer] Login attempt for: agus@student.its.ac.id | Success: false
[Observer] Login attempt for: agus@student.its.ac.id | Success: false
[Observer] Login attempt for: budi@its.ac.id | Success: true
[Observer] Login attempt for: sari@student.its.ac.id | Success: false
[Observer] Registration attempt for: ryan@gmail.com | Success: true
[Observer] Login attempt for: ryan@gmail.com | Success: true
[Observer] Login attempt for: randi@gmail.com | Success: false
[Observer] Registration attempt for: randi@gmail.com | Success: true
[Observer] Login attempt for: randi@gmail.com | Success: true
[Observer] Login attempt for: agus@student.its.ac.id | Success: false
[Observer] Login attempt for: agus@student.its.ac.id | Success: false
[Observer] Login attempt for: agus@student.its.ac.id | Success: false
[Observer] Login attempt for: sari@student.its.ac.id | Success: false
[Observer] Login attempt for: sari@student.its.ac.id | Success: false
[Observer] Login attempt for: agus@student.its.ac.id | Success: true
[Observer] Login attempt for: budi@its.ac.id | Success: true
